COMPTE_COMPTABLE;DATE_MVT;PIECE_COMPTABLE;MONTANT;SENS;LIBELLE_FACTURE;DATE_REGLEMENT;DATE_ECHEANCE;HICTSA;TYPE_COMPTE;ID_ECRITURE
5120300000;2019-01-28;90048;293.02;C;CHEQUE;2018-01-28;2021-03-01;S;512;0
5120300000;2019-01-28;90045;3985.41;C;CHEQUE;2018-01-08;2021-03-01;S;512;1
5120300000;2019-01-29;90005;2980.21;C;VIRMT;2018-01-28;2021-03-01;S;512;2
5120300000;2019-01-01;100001;8260.0;D;RBSMT;2018-01-08;2021-03-01;S;512;3
5120300000;2019-01-01;100006;729.53;C;CHEQUE;2018-01-08;2021-03-01;S;512;4
5120300000;2019-01-01;100004;720.0;C;CHEQUE;2019-01-29;2021-03-01;S;512;5
5120300000;2019-01-01;100005;680.4;C;CHEQUE;2019-01-29;2021-03-01;S;512;6
4015002010;2019-01-15;900632;47744.28;C;ANNULE;2018-01-15;2021-03-01;S;401;7
5120300000;2019-01-05;100003;1736.34;C;PLVT;2018-01-08;2021-03-01;S;512;8
5120300000;2019-01-05;100008;93.41;C;CHEQUE;2018-01-08;2021-03-01;S;512;9
5120300000;2019-01-05;100002;10920.0;C;VIRMT;2018-01-08;2021-03-01;S;512;10
5120300000;2019-01-07;100009;451.34;C;CHEQUE;2018-01-08;2021-03-01;S;512;11
5120300000;2019-01-09;10010;306.04;C;CHEQUE;2018-01-08;2021-03-01;S;512;12
5120300000;2019-01-15;100011;52.12;D;REMISE;2018-01-08;2021-03-01;S;512;13
6070100000;2019-01-03;110006;63.65;D;FACTURE;2021-03-01;2021-03-01;X;607;14
5120700000;2019-01-01;485460;34560.98;C;A.N.;2018-01-01;2021-03-01;S;512;15
5120700000;2019-01-01;PLVT;8.75;C;ELYS;2018-01-01;2019-01-31;S;512;16
5120700000;2019-01-01;PLVT;1.72;C;ELYS;2018-01-01;2019-01-31;S;512;17
5120700000;2019-01-01;PLVT;1.1;C;FRAIS;2018-01-01;2019-01-31;S;512;18
5120700000;2019-01-01;PLVT;10564.46;C;SALAIRES;2018-01-01;2019-01-31;S;512;19
5120700000;2019-01-01;PLVT;1.0;C;FRAIS;2018-01-01;2019-01-31;S;512;20
5120700000;2019-01-01;PLVT;276.0;C;SCI;2018-01-01;2019-01-31;S;512;21
5120700000;2019-01-01;PLVT;466.2;C;GRENKE;2018-01-01;2019-01-31;S;512;22
5120700000;2019-01-01;PLVT;1579.5;C;GE;2018-01-01;2019-01-31;S;512;23
5120700000;2019-01-01;39678;98.1;C;NDF;2018-01-01;2019-01-31;S;512;24
5120700000;2019-01-01;39678;431.76;C;FL;2018-01-01;2019-01-31;S;512;25
5120700000;2019-01-01;39679;77.74;C;MANUMECA>06/01/14;2018-01-01;2019-01-28;S;512;26
5120700000;2019-01-01;39679;322.92;C;BFRET>06/01/14;2018-01-01;2019-01-31;S;512;27
5120700000;2019-01-01;39679;741.52;C;VIALIANS;2018-01-01;2019-01-31;S;512;28
5120700000;2019-01-01;39679;7235.27;C;PHOENIX;2018-01-01;2019-01-31;S;512;29
5120700000;2019-01-01;39679;2500.0;C;JETONS;2018-01-01;2019-01-31;S;512;30
5120700000;2019-01-01;39679;895.68;C;SALAIRE;2018-01-01;2019-01-31;S;512;31
5120700000;2019-01-01;VIRT;40000.0;D;VIREMENT;2018-01-01;2019-01-31;S;512;32
5120700000;2019-01-01;PLVT;159.99;C;SOLUTION;2018-01-01;2019-01-31;S;512;33
5120700000;2019-01-01;PLVT;161.03;C;SOLUTION;2018-01-01;2019-01-31;S;512;34
5120700000;2019-01-01;PLVT;266.46;C;SOLUTION;2018-01-01;2019-01-31;S;512;35
5120700000;2019-01-01;VIRT;14496.5;D;TURBOMACH>08/01/14;2018-01-01;2019-01-31;S;512;36
5120700000;2019-01-01;PLVT;333.81;C;FRAIS;2018-01-01;2019-01-31;S;512;37
5120700000;2019-01-01;PLVT;111.87;C;FRAIS;2018-01-01;2019-01-31;S;512;38
5120700000;2019-01-01;VIRT;872.17;D;AIR;2018-01-01;2019-01-31;S;512;39
5120700000;2019-01-01;PLVT;868.63;C;DIAC;2018-01-01;2019-01-31;S;512;40
5120700000;2019-01-01;39679;54.92;C;CYO>13/01/14;2018-01-01;2019-01-31;S;512;41
5120700000;2019-01-01;VIRT;11194.04;D;INVENSYS>13/01/14;2018-01-01;2019-01-31;S;512;42
5120700000;2019-01-01;PLVT;938.7;C;EDF>13/01/14;2018-01-01;2019-01-31;S;512;43
5120700000;2019-01-01;PLVT;23.0;C;FRAIS;2018-01-01;2019-01-31;S;512;44
5120700000;2019-01-01;VIRT;20966.7;D;INVENSYS;2018-01-01;2019-01-31;S;512;45
5120700000;2019-01-01;VIRT;39000.0;D;FIVES;2018-01-01;2019-01-31;S;512;46
5120700000;2019-01-01;PLVT;23.0;C;OPERATION;2018-01-01;2019-01-31;S;512;47
5120700000;2019-01-01;39679;405.35;C;NDF;2018-01-01;2019-01-31;S;512;48
5120700000;2019-01-01;VIRT;10883.6;C;SE;2018-01-01;2019-01-31;S;512;49
5120700000;2019-01-01;PLVT;57.19;C;ORANGE>15/01/14;2018-01-01;2019-01-31;S;512;50
5120700000;2019-01-01;39679;296.61;C;MF;2018-01-01;2019-01-31;S;512;51
5120700000;2019-01-01;39680;3151.26;C;CETIM>16/01/14;2018-01-01;2019-01-31;S;512;52
5120700000;2019-01-01;39680;1196.0;C;BUREAU;2018-01-01;2019-01-31;S;512;53
5120700000;2019-01-01;39680;2156.38;C;SELPRO>16/01/14;2018-01-01;2019-01-31;S;512;54
5120700000;2019-01-01;39680;2216.14;C;BURKERT>16/01/14;2018-01-01;2019-01-31;S;512;55
5120700000;2019-01-01;39680;1590.96;C;CRC>16/01/14;2018-01-01;2019-01-28;S;512;56
5120700000;2019-01-01;39680;329.2;C;SONECTRAD>16/01/14;2018-01-01;2019-01-31;S;512;57
5120700000;2019-01-01;39680;595.94;C;SICLI>16/01/14;2018-01-01;2019-01-31;S;512;58
5120700000;2019-01-01;39680;605.89;C;SOS;2018-01-01;2019-01-31;S;512;59
5120700000;2019-01-01;39680;1486.41;C;RITTAL>16/01/14;2018-01-01;2019-01-31;S;512;60
5120700000;2019-01-01;39680;6901.57;C;GEORGIN>16/01/14;2018-01-01;2019-01-31;S;512;61
5120700000;2019-01-01;39681;414.89;C;DELTA;2018-01-01;2019-01-31;S;512;62
5120700000;2019-01-01;39681;5015.13;C;VDS>16/01/14;2018-01-01;2019-01-31;S;512;63
5120700000;2019-01-01;39681;7513.73;C;LAA>16/01/14;2018-01-01;2019-01-31;S;512;64
5120700000;2019-01-01;39681;174.9;C;EMERSON>16/01/14;2018-01-01;2019-01-31;S;512;65
5120700000;2019-01-01;39681;188.07;C;RS;2018-01-01;2019-01-31;S;512;66
5120700000;2019-01-01;39681;528.9;C;ERA;2018-01-01;2019-01-31;S;512;67
5120700000;2019-01-01;39681;84.91;C;NDF;2018-01-01;2019-01-28;S;512;68
5120700000;2019-01-01;39681;310.33;C;NDF;2018-01-01;2019-01-31;S;512;69
5120700000;2019-01-01;PLVT;3397.95;C;REXEL>16/01/14;2018-01-01;2019-01-31;S;512;70
5120700000;2019-01-01;VIRT;13037.11;D;AWF>16/01/14;2018-01-01;2019-01-31;S;512;71
5120700000;2019-01-01;39681;6193.71;C;RITTAL>20/01/14;2018-01-01;2019-01-28;S;512;72
5120700000;2019-01-01;39681;34970.0;C;MANUMECA>20/01/14;2018-01-01;2019-01-31;S;512;73
5120700000;2019-01-01;VIRT;63326.05;D;INVENSYS>20/01/14;2018-01-01;2019-01-31;S;512;74
5120700000;2019-01-01;VIRT;4524.98;D;SANCHEZ>20/01/14;2018-01-01;2019-01-31;S;512;75
5120700000;2019-01-01;VIRT;645.84;D;AIR;2018-01-01;2019-01-31;S;512;76
5120700000;2019-01-01;VIRT;1196.0;D;AIR;2018-01-01;2019-01-31;S;512;77
5120700000;2019-01-01;PLVT;41.9;C;ORANGE>20/01/14;2018-01-01;2019-01-31;S;512;78
5120700000;2019-01-01;PLVT;463.76;C;CARTE;2018-01-01;2019-01-31;S;512;79
5120700000;2019-01-01;PLVT;0.22;C;FRAIS;2018-01-01;2019-01-31;S;512;80
5120700000;2019-01-01;PLVT;730.46;C;BOUYGUES>23/01/14;2018-01-01;2019-01-31;S;512;81
5120700000;2019-01-01;VIRT;539.52;C;CAHOUET>23/01/14;2018-01-01;2019-01-31;S;512;82
5120700000;2019-01-01;39682;320.5;C;NDF;2018-01-01;2019-01-31;S;512;83
5120700000;2019-01-01;39682;883.2;C;AMETIF>27/01/14;2018-01-01;2019-01-28;S;512;84
5120700000;2019-01-01;39682;152.09;C;CHRONOPOST>27/01/14;2018-01-01;2019-01-28;S;512;85
5120700000;2019-01-01;39682;123.19;C;VITALAQUE>27/01/14;2018-01-01;2019-01-28;S;512;86
5120700000;2019-01-01;39682;288.48;C;STEGO>27/01/14;2018-01-01;2019-01-28;S;512;87
5120700000;2019-01-01;39682;93.77;C;ELEC;2018-01-01;2019-01-28;S;512;88
5120700000;2019-01-01;39682;367.94;C;SWAGELOK>27/01/14;2018-01-01;2019-01-28;S;512;89
5120700000;2019-01-01;39682;116.01;C;PETROMETALIC>27/01/14;2018-01-01;2019-01-28;S;512;90
5120700000;2019-01-01;39682;1637.45;C;GRAVOPLEX>27/01/14;2018-01-01;2019-01-28;S;512;91
5120700000;2019-01-01;39683;3006.74;C;EMERSON>27/01/14;2018-01-01;2019-01-28;S;512;92
5120700000;2019-01-01;39683;474.19;C;CABLERIE;2018-01-01;2019-01-28;S;512;93
5120700000;2019-01-01;39683;1078.19;C;SELPRO>27/01/14;2018-01-01;2019-01-28;S;512;94
5120700000;2019-01-01;39683;227.24;C;TRANSPORTS;2018-01-01;2019-01-28;S;512;95
5120700000;2019-01-01;39683;158.0;C;AIR;2018-01-01;2019-01-28;S;512;96
5120700000;2019-01-01;39683;265.37;C;LYRECO>27/01/14;2018-01-01;2019-01-28;S;512;97
5120700000;2019-01-01;39683;1087.16;C;BFRET>27/01/14;2018-01-01;2019-01-28;S;512;98
5120700000;2019-01-01;39683;2392.0;C;BUREAU;2018-01-01;2019-01-28;S;512;99
5120700000;2019-01-01;39683;89.0;C;GARAGE;2018-01-01;2019-01-28;S;512;100
5120700000;2019-01-01;39683;1195.51;C;RS;2018-01-01;2019-01-28;S;512;101
5120700000;2019-01-01;PLVT;256.0;C;NET;2018-01-01;2019-01-31;S;512;102
5120700000;2019-01-01;VIRT;10883.6;C;SE;2018-01-01;2019-01-31;S;512;103
5120700000;2019-01-01;VIRT;10117.4;C;SALAIRES;2018-01-01;2019-01-31;S;512;104
5120700000;2019-01-01;PLVT;1.1;C;FRAIS;2018-01-01;2019-01-31;S;512;105
5120700000;2019-01-01;39684;1058.0;C;ELMESS>30/01/14;2018-01-01;2019-01-28;S;512;106
5120700000;2019-01-01;PLVT;205.94;C;ALBAUT>31/01/14;2018-01-01;2019-01-31;S;512;107
5120700000;2019-01-01;VIRT;6107.06;D;AIR;2018-01-01;2019-01-31;S;512;108
5120700000;2019-01-01;PLVT;143.0;C;MALAKOFF>31/01/14;2018-01-01;2019-01-31;S;512;109
5120700000;2019-01-01;PLVT;8.75;C;ABO;2018-01-01;2019-01-28;S;512;110
5120700000;2019-01-01;PLVT;1.75;C;ABO;2018-01-01;2019-01-28;S;512;111
5120700000;2019-01-01;VIRT;23864.37;D;INVENSYS>03/02/14;2018-01-01;2019-01-28;S;512;112
5120700000;2019-01-01;PLVT;276.0;C;SCI;2018-01-01;2019-01-28;S;512;113
5120700000;2019-01-01;VIRT;33848.5;D;TURBOMACH>04/02/14;2018-01-01;2019-01-28;S;512;114
5120700000;2019-01-01;VIRT;16395.59;D;SANCHEZ>04/02/14;2018-01-01;2019-01-28;S;512;115
5120700000;2019-01-01;PLVT;33.91;C;ORANGE>05/02/14;2018-01-01;2019-01-28;S;512;116
5120700000;2019-01-01;PLVT;278.39;C;ARRETE;2018-01-01;2019-01-28;S;512;117
5120700000;2019-01-01;PLVT;481.45;C;VIRT;2018-01-01;2019-01-28;S;512;118
5120700000;2019-01-01;39684;22750.0;C;EMERSON>10/02/14;2018-01-01;2019-01-28;S;512;119
5120700000;2019-01-01;39688;1818.0;C;INTERGROS>21/02/14;2018-01-01;2019-01-31;S;512;120
5120700000;2019-01-01;PLVT;47.4;C;ORANGE>25/02/14;2018-01-01;2019-01-28;S;512;121
5120700000;2019-01-01;PLVT;281.17;C;BOUYGUES>25/02/14;2018-01-01;2019-01-28;S;512;122
5120700000;2019-01-01;VIRT;10428.63;C;SALAIRES;2018-01-01;2019-01-28;S;512;123
5120700000;2019-01-01;PLVT;1.1;C;FRAIS>27/02/14;2018-01-01;2019-01-28;S;512;124
5120700000;2019-01-01;PLVT;1.0;C;FRAIS>28/02/14;2018-01-01;2019-01-28;S;512;125
5120700000;2019-01-01;PLVT;121.56;C;ALBAUT>28/02/14;2018-01-01;2019-01-28;S;512;126
5120700000;2019-01-01;VIRT;3904.1;D;AIR;2018-01-01;2019-01-28;S;512;127
5120700000;2019-01-01;PLVT;8.75;C;ELYC;2018-01-01;2019-01-31;S;512;128
5120700000;2019-01-01;VIRT;2592.0;D;DAILYCER>03/03/14;2018-01-01;2019-01-31;S;512;129
5120700000;2019-01-01;PLVT;276.0;C;SCI;2018-01-01;2019-01-31;S;512;130
5120700000;2019-01-01;PLVT;1.75;C;TVA;2018-01-01;2019-01-31;S;512;131
5120700000;2019-01-01;PLVT;1.0;C;FRAIS>03/03/14;2018-01-01;2019-01-31;S;512;132
5120700000;2019-01-01;VIRT;9396.97;D;SANCHEZ>04/03/14;2018-01-01;2019-01-31;S;512;133
5120700000;2019-01-01;PLVT;29.52;C;TAIS>04/03/14;2018-01-01;2019-01-31;S;512;134
5120700000;2019-01-01;PLVT;39000.0;C;INVENSYS;2018-01-01;2019-01-31;S;512;135
5120700000;2019-01-01;PLVT;166.91;C;SOLUTION;2018-01-01;2019-01-31;S;512;136
5120700000;2019-01-01;PLVT;149.64;C;SOLUTION;2018-01-01;2019-01-31;S;512;137
5120700000;2019-01-01;PLVT;333.86;C;ARRETE;2018-01-01;2019-01-31;S;512;138
5120700000;2019-01-01;PLVT;517.23;C;VIRT;2018-01-01;2019-01-31;S;512;139
5120700000;2019-01-01;39689;226.4;C;RBT;2018-01-01;2019-01-31;S;512;140
5120700000;2019-01-01;39689;226.4;C;RBT;2018-01-01;2019-01-31;S;512;141
5120700000;2019-01-01;39689;142.83;C;NDF;2018-01-01;2019-01-31;S;512;142
5120700000;2019-01-01;VIRT;1168.57;D;AIR;2018-01-01;2019-01-31;S;512;143
5120700000;2019-01-01;PLVT;246.6;C;DIAC;2018-01-01;2019-01-31;S;512;144
5120700000;2019-01-01;39689;21.89;C;NFRANCE>10/03/14;2018-01-01;2019-01-31;S;512;145
5120700000;2019-01-01;PLVT;226.4;C;RBT;2018-01-01;2019-01-31;S;512;146
5120700000;2019-01-01;VIRT;10920.0;C;SE;2018-01-01;2019-01-31;S;512;147
5120700000;2019-01-01;39689;213.22;C;NDF;2018-01-01;2019-01-31;S;512;148
5120700000;2019-01-01;39689;13223.4;C;VDS>11/03/14;2018-01-01;2019-01-31;S;512;149
5120700000;2019-01-01;39689;79.58;C;LA;2018-01-01;2019-01-31;S;512;150
5120700000;2019-01-01;39689;118.91;C;FG;2018-01-01;2019-01-31;S;512;151
5120700000;2019-01-01;39689;703.5;C;ELKA;2018-01-01;2019-01-31;S;512;152
5120700000;2019-01-01;39689;350.64;C;BFL;2018-01-01;2019-01-31;S;512;153
5120700000;2019-01-01;39690;16235.81;C;RITTAL>11/03/14;2018-01-01;2019-01-31;S;512;154
5120700000;2019-01-01;39690;1092.0;C;CABLES;2018-01-01;2019-01-31;S;512;155
5120700000;2019-01-01;39690;99.71;C;CERGY;2018-01-01;2019-01-31;S;512;156
5120700000;2019-01-01;39690;16720.8;C;CSIV>11/03/14;2018-01-01;2019-01-31;S;512;157
5120700000;2019-01-01;39690;816.0;C;MANUMECA>11/03/14;2018-01-01;2019-01-31;S;512;158
5120700000;2019-01-01;39690;2113.2;C;AMT>11/03/14;2018-01-01;2019-01-31;S;512;159
5120700000;2019-01-01;39690;3783.6;C;ENERDIS>11/03/14;2018-01-01;2019-01-31;S;512;160
5120700000;2019-01-01;39690;194.04;C;STEGO>11/03/14;2018-01-01;2019-01-31;S;512;161
5120700000;2019-01-01;39690;4399.15;C;SWAGELOK>11/03/14;2018-01-01;2019-01-31;S;512;162
5120700000;2019-01-01;39690;245.06;C;EMERSON>11/03/14;2018-01-01;2019-01-31;S;512;163
5120700000;2019-01-01;39691;41.74;C;SETON>11/03/14;2018-01-01;2019-01-31;S;512;164
5120700000;2019-01-01;39691;3194.82;C;GEORGIN>11/03/14;2018-01-01;2019-01-31;S;512;165
5120700000;2019-01-01;39691;1214.42;C;SELPRO>11/03/14;2018-01-01;2019-01-31;S;512;166
5120700000;2019-01-01;39691;216.0;C;FRANKEL>11/03/14;2018-01-01;2019-01-31;S;512;167
5120700000;2019-01-01;39691;190.2;C;BURKERT>11/03/14;2018-01-01;2019-01-31;S;512;168
5120700000;2019-01-01;39691;9552.0;C;CIEMA>11/03/14;2018-01-01;2019-01-31;S;512;169
5120700000;2019-01-01;39691;540.0;C;TRANSPORT;2018-01-01;2019-01-31;S;512;170
5120700000;2019-01-01;39691;438.19;C;MONDIAL;2018-01-01;2019-01-31;S;512;171
5120700000;2019-01-01;39691;531.6;C;FL;2018-01-01;2019-01-31;S;512;172
5120700000;2019-01-01;PLVT;42.98;C;ORANGE>14/03/14;2018-01-01;2019-01-31;S;512;173
5120700000;2019-01-01;PLVT;41.9;C;ORANGE>14/03/14;2018-01-01;2019-01-31;S;512;174
5120700000;2019-01-01;PLVT;2361.12;C;REXEL>17/03/14;2018-01-01;2019-01-31;S;512;175
5120700000;2019-01-01;VIRT;1560.7;D;INVENSYS>17/03/14;2018-01-01;2019-01-31;S;512;176
5120700000;2019-01-01;PLVT;895.85;C;EDF>17/03/14;2018-01-01;2019-01-31;S;512;177
5120700000;2019-01-01;VIRT;39000.0;D;FIVES;2018-01-01;2019-01-31;S;512;178
5120700000;2019-01-01;39691;50.0;C;NDF;2018-01-01;2019-01-30;S;512;179
1010000000;2019-01-01;0;76225.0;C;SOLDE;2021-03-01;2021-03-01;X;101;180
4015000040;2019-01-01;6063;10056.0;C;CSIV;2018-01-28;2021-03-01;S;401;181
4015000060;2019-01-27;30056;912.8;C;FACT;2018-01-15;2019-01-13;S;401;182
4015000090;2019-01-08;100016;307.8;C;FACTURE;2018-01-15;2019-01-07;S;401;183
4015000110;2019-01-29;60032;529.15;D;CHQ;2018-01-29;2021-03-01;S;401;184
4015000120;2019-01-30;40067;480.91;C;FACT;2018-01-15;2019-01-15;S;401;185
4015000140;2019-01-01;9065;67.04;C;RS;2018-01-01;2021-03-01;S;401;186
4015000140;2019-01-27;30064;733.4;D;CHQ;2018-01-27;2021-03-01;S;401;187
4015000170;2019-01-01;11073;329.2;C;SONECTRAD;2018-01-06;2021-03-01;S;401;188
4015000170;2019-01-01;7059;713.88;C;SONECTRAD;2018-01-06;2021-03-01;S;401;189
4015000190;2019-01-12;20007;3224.12;D;CHQ;2018-01-12;2021-03-01;S;401;190
4015000200;2019-01-01;11051;1108.15;C;VDS;2018-01-12;2021-03-01;S;401;191
4015000200;2019-01-01;2055;88.38;C;VDS;2018-01-12;2021-03-01;S;401;192
4015000200;2019-01-01;12071;1562.41;C;VDS;2018-01-12;2021-03-01;S;401;193
4015000200;2019-01-15;40032;1770.0;D;CHQ;2018-01-15;2021-03-01;S;401;194
4015000200;2019-01-30;90065;213.29;C;FACTURE;2018-01-12;2019-01-10;S;401;195
4015000310;2019-01-01;12037;376.7;C;ELSTER;2018-01-29;2021-03-01;S;401;196
4015000400;2019-01-16;30019;41.9;D;PLVT;2018-01-31;2021-03-01;S;401;197
4015000460;2019-01-01;39682;123.19;D;VITALAQUE>27/01/14;2018-01-29;2021-03-01;S;401;198
4015000480;2019-01-21;90055;396.0;C;FACTURE;2018-01-14;2019-01-30;S;401;199
4015000490;2019-01-11;60035;120.18;C;FACTURE;2018-01-10;2019-01-31;S;401;200
4015000570;2019-01-29;70032;186.0;C;FACT;2018-01-11;2019-01-27;S;401;201
4015000710;2019-01-01;12040;1080.0;C;CADWARE;2018-01-15;2021-03-01;S;401;202
4015001240;2019-01-09;30009;410.96;C;FACT;2018-01-06;2021-03-01;S;401;203
